primary_question,answer
撤销探亲申请,"首先确认【票据（机票或车票）】是否已出
 情况A：票据未出，可【删除】探亲申请，需要如下操作：
  ① 联系您的直属上级、薪酬福利专员（周凤zhoufeng05），刘美娜（liumeina），将上述人员拉群
  ② 提供出差【申请单据号】，由直属上级和薪酬福利专员审批后，刘美娜执行删除
 情况B：票据已出
  ①探亲票据已出，但未使用或已退票，未过期，需要将直属上级、薪酬福利专员(周凤zhoufeng05)行政刘美娜(liumeina) 拉群确认后，提供【探亲申请单号】由刘美娜（liumeina）进行延期操作
  ②探亲票据已出，但未使用或已退票，已过期，在差旅中提交【特殊探亲】申请"
探亲申请时显示的探亲地址与实际不符,原因：（1）工作城市不正确（2）亲城市不正确&nbsp;解决方案：联系【仲肖竹（zhongxiaozhu）】进行确认探亲数据并更新，10~15分钟后数据会同步至差旅，同步完成后再进行探亲申请。
探亲申请买票时，无法购买票,"人力规定：一个【探亲单】只能预定【2张票】，不论火车票或机票，超出的可以自费，报销
 "
如何删除报销单,"没产生过流程的报销单可以左滑删除；
产生过流程的报销单只可以作废，无法删除。作废或删除会释放对应关联的出差单，可以在次发起报销"
出差报销无法发起流程,出差报销流程，审批一为组织负责人，如图 没有审批人导致流程无法发起，可联系HRBP维护组织负责人后再提交，或进行手动加签审批即可正常发起流程。&nbsp;
火车票如果退票改签,"若已取票或距离列车开动少于40分钟则需要去窗口办理（列车开动前窗口可办理退票，列车开动后窗口可办理改签，前提未改签过）；若未取票，可在火车开动前40分钟在平台上操作退改签。
火车退票：
方法：手机云图梭-应用-差旅-出行服务-大唐火车票，（如是文员，点击为某某预定-确认）进入订单列表后，点击火车票，点击[申请退票]，进入确认退票页面，点击[暂不退票]或[确认退票]，点击[确认退票]，进入退票流程，点击[退票进度]可查看进度。
火车改签：
方法：手机云图梭-应用-差旅-出行服务-大唐火车票，（如是文员，点击为某某预定-确认）进入订单列表后，点击火车票，点击[申请改期]，选择改期车次，坐席，点击[改签]进入占座，占座成功后，点击[确认改签]，改签成功提醒。"
如何预订火车票,"出差申请通过后可以在大唐预订火车票。
订票路径：
方法一：手机云图梭-应用-差旅-出行服务-大唐火车票，进行查询和预定。
如在大唐商旅无法预定火车票，也可直接联系大唐客服帮助订票。"
机票无法改签,"如您已经办理值机，请先取消值机。
机票改签：
方法一：手机云图梭-应用-差旅-出行服务-大唐/携程，如是自己的订单，点击为自己预定，确认。如是文员，点击为某某预定-确认。 进入订单列表后，点击机票进入详情；申请退票，确认退票，选择退票原因；确认提交退票。
若无法操作请直接联系客服，携程客服：400-980-6666大唐客服:400-822-5060转907
机票退票：
方法一：手机云图梭-应用-差旅-出行服务-大唐/携程，如是自己的订单，点击为自己预定，确认。如是文员，点击为某某预定-确认。 进入订单列表后，点击机票进入详情；申请退票，确认退票，选择退票原因；确认提交退票。
若无法操作请直接联系客服，携程客服：400-980-6666大唐客服:400-822-5060转907"
携程订机票为什么无法享受协议价格？,首次使用携程预订东航、海航或南航的航班不能享受协议价。当月15日前预定东航和海航的航班，次月8日后再订即可享受协议价；15日后预定的，次次月8日后可享受协议价。当月定南航航班，次月15日后（非工作日顺延）可享受协议价格。
如何添加同住人？,在大唐界预订酒店页面可以添加一位同住人。添加同住人条件：具有相同差旅审批单（时间、出差城市等信息完全相同）；携程不支持添加同住人。
如何订票,"出差申请通过后可以在公司提供的平台上订票。
订票路径：
方法一：手机云图梭-应用-差旅-出行服务-选择大唐或携程-订票-选择出差申请单-预订。
ps：高铁/火车/动车票，只能在大唐预定，携程不支持。"
云图梭PC端进入差旅管理失败,云图梭差旅后台管理，不对全员开放，仅用于文员对账使用。
发票丢失，首联复印件盖鲜章是否可以,发票丢失（专票和普票）：销售方记账联复印件或存根联复印件+加盖销售方【发票专用章】
财务共享平台员工信用分的作用,每个员工都有初始100分信用分，高信用员工（分数=91分）个人提交报销后系统会先给员工付款，后续员工再交单即可；低信用员工（分数=90分）需要交后系统才会给用户付款
报销单据【超期停付】状态的含义,如果信用付款或领借款支付后，超过15天未将纸质单据交给自己的部门文员，个人后续所有报销单据会显示【超期停付】，需将超期单据对应的纸质单据交给部门文员，部门文员在财务共享平台操作【打包邮递】后第二天解除超期状态，如未解除请IT报事。
财务共享平台单据流转状态说明,"单据流转状态有如下9种类型：
1、无：经办人未提交单据至部门文员或前台打包;
2、已打包：部门文员或前台已将单据打包;
3、已邮递：前台已将单据寄出；
4、共享签收：共享已收到单据；
5、共享扫描：单据已扫描上传；
6、退件打包：需退回的单据已经打包；
7、退件邮递：需退回的单据已从共享寄出；
8、退件收包：退回单据已被前台签收；
9、退件签收：单据已退回至部门文员"
查看单据邮寄状态,"针对不同系统，单据流转状态的查询方式分别是：
1、场景化费用系统，在我的首页-我的单据中可以查看单据流转状态
2、成本管理平台：在付款管理页面查看对应单据流转状态
ps:业务系统中的单据流转状态即为财务共享中单据邮寄状态"
操作单据【邮递】时提示“不是已打包状态”,需在【龙小湖】-【财务客服】-输入【转人工】，提供包编号，让客服人员帮忙核实该包中存在未打包单据，将其删除，重新添加入包内即可
操作退件收包时提示“退件收包失败”,请在对应业务系统查看单据流转状态，若当前状态是退件打包，需平台人员档案组人员进行【退件邮递】，当操作完【退件邮递】后才可以进行【退件收包】。
财务共享平台单据退包后操作方法,【退件收包】后，部门文员做【退件签收】，在【退件签收】编辑界面修改信息提交后才能够重新打包。（实物退件过程：平台档案岗退件打包、退件邮递，然后前台退件收包，部门文员退件签收）
成本管理平台领借款冲账方式,"两种方式可选择：
1、流程冲账：只能冲本人或本部门同事的领借款，冲账流程审批完成后，显示冲账成功
2、直接还款冲账：还款至公司，同时走直接还款流程，流程审批结束，显示冲账成功"
成本管理平台直接还款的场景,"有以下3种情况可直接还款：
1、领借款冲账后仍有借款余额；
2、付款审核发现多报、错报情况，形成欠款领借款；
3、土地保证金退回&投标保证金退回"
领借款单据直接还款的操作步骤,"按如下步骤：
1、款项归还至公司账户；
2、发起直接还款单：选中要还的领借款，点击直接还款-直接还款记录中点击新增-在直接还款申请单中填列还款银行、银行账号、还款时间、还款金额、附件-发起审批；
3、审批完成，无需打印封皮交单。直接还款冲账：还款至公司，同时走直接还款流程，还款流程无需交单，流程审批结束，显示冲账成功。如需直接还款，可联系所属财务共享平台资金组取得公司银行账户信息"
成本管理平台直接还款打印封皮,【直接还款】操作无需打印封皮交单
成本管理平台无法发起借款原因,"请检查自己明细的领借款是否有以下情况：
1.个人名下领借款达到3笔或者两个月内未还清；
2.对公领借款2个月内未清偿
如有请尽快处理后再领借款"
成本管理平台的收据可冲账的前提条件,保证金/押金性质的领借款，可用取得的收据进行冲账
成本管理平台领借款类型说明,"有如下常用情况：
1、土地拍卖保证金借款：为土地拍卖需缴纳的保证金借款
2、项目-土地类合同借款：土地相关的合同付款
3、无合同借款-通用：其他归属于项目成本但未签合同的付款
4、特殊类借款：指由公司或项目承担的违约金、滞纳金、捐赠款、赞助款、罚款等例外支出的报销
5、特殊工程类借款：合同约定的进度款之外，额外提前借给施工单位，供其解决紧急资金需求的款项
6、苗木及库存材料类借款：库存苗木、库存材料发生的零星支出。 特别提示：如能归属到具体项目的，需确定具体项目。
7、项目营销费借款：指实际操作中无法签定合同的项目营销费借款
8、项目营销类合同借款：所有涉及营销类的合同（需合同归档）付款，包括：售楼处、样板房建造费，销售设施运行费，调研、推广、代理、广告费，其他销售费用等
9、行政规费借款：主要指交纳的行政性事业收费
可根据实际情况进行选择。"
财务共享平台领借款交单条件,"已纳入共享平台管理范围、且允许后补单的领借款，不论是否已经支付，都不需要再打印封皮邮寄至共享；
已纳入共享平台管理范围且不允许后补单的领借款，需走正常的交单流程。
ps：是否纳入共享平台及是否允许后补单需要在主数据平台查看，需联系平台总账组人员进行查看。"
查看财务共享平台已超期的单据,超期单据查询路径：【龙小湖】-【应用】-【财务办公】-【我的信用分】
财务共享平台已交单没有收到付款,"有如下4种情况：
1、信用付款地区/集团审批完成后，1个工作日付款；
2、领借款地区/集团审批完成后，2个工作日付款；
3、其他类付款，单据寄到共享后3个工作日付款；
4、如需加急，拉通职能负责人、财务负责人、财务共享平台负责人确认后优先付款处理"
财务共享打包时提示无法打包,需要查看包中是否有明细，包中没有包明细则无法打包
有哪些情况下单据不允许邮递,"1：需检查快递公司和快递单号是否填写，如未填写，不允许邮递
2：提示没有打包完成，需在【龙小湖】-【财务客服】-输入【转人工】，提供包编号，让客服人员帮忙核实该包中存在未打包单据，将其删除，重新添加入包内即可"
删除邮包时，提示“已邮递，不允许删除”,需查看包的【邮递状态】，若为已邮递，则不允许删除。所以在邮递前需确认打包正确！！！
财务共享平台退包后无法重新打包,若包的【邮递状态】为退件邮递，需在财务共享平台系统上对当前包进行【退件收包】及【退件签收】操作，包的【签收状态】更新为【退件签收】后才可以重新打包。
接收财务共享平台流程驳回后的单据的方法,单据会统一邮寄到对应各地区公司前台，具体地址可以咨询公司前台或者部门文员，如有疑问，可咨询龙小湖-财务智能客服。
财务共享平台审批状态说明,"您好，共享平台审批状态有如下8种情况：
1 、没交单或共享初审未审核；
2、共享审批中：共享复审；
3、共享已审批：共享审批完成；
4、单据补齐：缺少单据需补齐；
5、单据退回：单据需修改或替换；
6、流程退回：流程需撤回修改再提交；
7、流程及单据退回：流程及单据需修改再提交；
8、超期停付：有信用付款或领借款单据，支付后超过15天未交单，审批流程中信用付款被停付。"
财务共享平台信用分扣分规则,1、信用分查询路径：龙小湖-【应用】-【财务办公】-【我的信用分】 查询&nbsp;2、信用飞扣分有以下几种情况：&nbsp;个人报销单据：（1）单据粘贴不规范单次扣3分；（2）共享审核不通过单次扣5分，发票（发起修改发票指令）/附件/金额等有误，一单最多扣5分；（3）支付完成/单据退回后，实物单据超15天未交至共享，单次扣5分；超30天，再扣5分并暂停该员工名下所有个人报销付款。&nbsp;
财务共享平台信用付款的条件,高信用员工【分数=91分】的【个人报销】可先付款，后交单；低信用员工先交单，后付款，信用付款的前提条件是对私的报销，并且提报人为【内部员工】或【退休返聘】
联系财务共享平台驳回单据的方法,"1、共享已经审核完成单据支付状态在支付中或者已支付：可在【龙小湖】-【财务专区】里输入单据号，可查看推送小卡片上的资金联系人，联系小卡片上推送的联系人进行支付驳回；
2、共享审核中：联系共享审核老师做流程退回或者流程及单据退回；
3、未交单到共享：可在业务系统操作撤回，业务系统无法撤回的，可智能柜交个封皮到共享，然后联系共享审核老师做流程退回或者流程及单据退回；"
可交单打包邮递的条件,"1、完成打包
2、填写好快递公司和快递单号"
无法正常签收单据,需查看单据的邮递状态，状态为【未邮递】不能进行【签收】，需联系对应地区行政人员在共享平台做【邮递】操作
粘贴发票用纸要求,可使用无敏感信息二次纸，粘贴在没有字的一面。
场景化费用系统中信用付款单何时可打印交单,【单据状态】为“已审批”才可以打印交单
成本管理平台中付款单何时可打印封皮,"您好，请按如下步骤完成后可打印封皮：
1、单据状态为【已审批】；
2、已关联发票；
3、发票信息中【验真状态】为验真通过。"
财务共享平台虚拟打包的条件,一般情况下不进行虚拟打包动作，如有特殊情况，请联系财务共享平台档案组负责人进行操作
共享交单已经审批后，不可操作退回,共享交单已审批、已支付，不能退回。
发起的单据共享流程退回后需要退件,要做单据及流程退回，需要先把流程提起，进入共享初审派单后，初审人可以操作驳回。
财务电子档案系统凭证无法查询,18年还未接入共享平台，18年的单据不在共享查询，共享平台19年接入。
报销票据该邮给谁,报销单据邮寄：报销单据交给文员进行交单&nbsp;交单方式：（1）智能柜交单：无需在系统进行操作 （2） 系统进行打包邮递，线下按照系统所给地址进行实物邮寄
如何取消打包,没有在系统做邮寄前业务可自行删包。已经邮寄的需要IT报事联系档案组老师处理。
电子影像系统没有权限,电子影像系统是只有平台档案组才有的，地区财务想要看影像可以在【电子档案系统】-【综合查询】中查看。
A3的纸张智能柜无法交单,A3的纸不能在收单柜交单，只能快递邮寄。
智能柜交单超过上限如何处理,分多次交单，一次不超50单，第一次交单后，联系初审人做单据补齐，再扫描第二次。
流程退回处理方法,经办人重新在业务系统提交流程即可。
单据付款查询,可在云图梭-龙小湖-财务专区-输入单号查询付款责任人，后联系付款责任人咨询
单据退回，重新交单无法打包,现象：单据退回，重新交单无法打包&nbsp;解决方案：&nbsp;1、若收到退件包裹，联系文员在共享平台单据传递模块操作退件收包、退件签收后再打包&nbsp;2、若从智能柜中取出单据后无法交单，联系智能柜管理员触发退件签收&nbsp;
发票抵扣联是否需要背后贴纸,"邮寄给共享平台的发票抵扣联不需要粘贴，发票要粘贴，
智能柜交单发票和抵扣联都要粘贴"
查看单据退回/补齐的原因,在龙小湖财务客服输入单据号，可以查询到初复审人员，可咨询初复审人员退回/补齐的原因。
无法交单到平台，是否可以后补票,需交单的单据不交单无法派单给审核老师审核，流程无法走，所以必须要交单，无法进行后补票
查看单据影像,可联系地区财务登录电子档案查看
修改单据关联的发票,需要先把实物资料交单到共享，平台签收扫描后，联系初审人做修改发票指令，重新关联发票提交，自动解除挂起状态
信用分被扣除，申请加回信用分,因疫情原因不能交单或者系统问题导致扣除信用分的，可在可交单后，交单到共享，IT报事加回信用分
支付驳回的单据申请资料退回,支付驳回的单据会有针对支付驳回问题的专项群拉通，群里会有经办人，单据退回需要在支付驳回的群里反馈即可。
需要推送修改关联发票,"单据在共享审核完成，无法推送发票修改指令，
如果还未支付，可联系资金操作驳回，重新发起，
如果已经审核已经支付不可推送修改。"
单据撤回、作废，实物没有退回,单据撤回、作废，交单到共享的资料等待退回即可
交单柜投递异常,联系智能柜管理员处理，智能柜的【帮助页面】上可查询收单柜管理员
推送了修改发票，去哪里修改,发票修改指令会推送给经办人的PC端云图梭待办中，可在PC端云图梭-【工作台】里查看修改
领借款的补票申请单不做支付如何在原单据上支付,领借款的补票申请单不做支付，在原单据上支付，补票单只是冲账而已
交单的提交方式,交单方式两种：1、快递邮寄到平台；2、智能柜交单
龙小湖查询单据状态被挂起,单据状态被挂起，说明共享审核老师推送了修改发票的指令，该指令会推送到经办人的待办中，需要在经办人的PC端云图梭查看修改编辑发票重新提交。
财务共享平台不能填写邮递信息,可清理浏览器缓存重新登录查看，或者可切换浏览器操作。
共享平台发票撤回挂起,发票撤回挂起，用户提交了发票修改还是挂起状态，需要用户在发起单据的系统（业务系统）找到撤回单，联系审批人驳回撤回单，发票才能解挂。
发票损坏如何交单,"1、可以作废或者红冲后，重新开票。
2、可以按发票交票：发票丢失（专票和普票）：销售方记账联复印件或存根联复印件+加盖销售方【发票专用章】"
无法做退件收包,可在退件签收处输入单据号查询退包编号，用退包编号做退件收包。
查询预算对接人,重庆地区对接人：陈文静 (chenwj)(点击可直接跳转云图梭)
查询预算对接人,西安，郑州地区对接人：龙瑞(longrui02) (点击可直接跳转云图梭)
查询预算对接人,合肥地区对接人：徐悦（xuyue01） (点击可直接跳转云图梭)
查询预算对接人,福建地区对接人： 吴思凡（wusifan01） (点击可直接跳转云图梭)
查询预算对接人,集团（含千丁，新材，装饰，飞鸟鱼）地区对接人：徐悦(xuyue01) (点击可直接跳转云图梭)
查询预算对接人,北京地区对接人：留燕(liuyan44) (点击可直接跳转云图梭)
查询预算对接人,胶东地区对接人：谭玉静(tanyujing01) (点击可直接跳转云图梭)
查询预算对接人,天津，济南地区对接人：张笑寒(zhangxiaohan02)(点击可直接跳转云图梭)
查询预算对接人,东北地区对接人（包含：沈阳、长春、大连，辽宁，亿达，成都亿兴，青云天下）：于嫣然(yuyanran) (点击可直接跳转云图梭)
查询预算对接人,成都，广州，佛州地区对接人：罗曦(luoxi) (点击可直接跳转云图梭)
查询预算对接人,武汉，上海，苏州地区对接人（包含上海电银信息技术有限公司）：乔清莹(qiaoqingying) (点击可直接跳转云图梭)
查询预算对接人,南京地区对接人：龙瑞(longrui02) (点击可直接跳转云图梭)
查询预算对接人,浙江温州，浙江宁波地区对接人：吴思凡(wusifan01) (点击可直接跳转云图梭)
查询预算对接人,浙江杭州，浙江嘉兴，浙江绍兴地区对接人：刘玉霞(liuyuxia03) (点击可直接跳转云图梭)
查询预算对接人,长沙，深圳，香港地区对接人：张可欣(zhangkexin01) (点击可直接跳转云图梭)
查询预算对接人,沪苏（苏南）地区对接人：李安琪(lianqi05) (点击可直接跳转云图梭)
谷露端已推送数据HR-π里未收到待入职员工单据,"原因：
1、该员工的信息有在龙湖绑定过外部账号，属于派遣转正式，所以需要派遣离职再正式入职，派遣的离职流程未走完导致无法正常入职；
2、入职单据需要招聘员工和基础人事角色才能收到；
3、未收到报到单请检查是否有【入职待办任务单 】未处理；
解决：
1、联系下基础人事，到【oa首页-账号自助门户】注销账号模块，根据员工手机号搜索，把他之前的外部账号注销一下，审批完自动解绑；然后再操作入职。
2、到HR--通用流程-权限自助，申请【招聘员工】角色（入职日期确认单） 或 【基础人事】角色（报到待办任务单）。
3、需基础人事将入职待办单处理完成后，会生成【报到待办任务单】。"
入职流程已完成但账号未生效,"新员工入职后账号生效时间的说明：
C4（I/S员工序列/其他临时工用）有账号员工：入职确认审批流通过后，次日账号生效。
其他员工：
基础人事在当天上午进行的确认报道，账号需要在当天下午才可正常使用，下午进行的确认报道，需要第二日才可正常使用
注：若未收到账号密码短信，可在龙信或云图梭搜索到对应账号，使用账号重置密码登陆。"
待入职工卡办理任务单点开空白,"1、现象：
（1）收到工卡的待办任务单，但是点开是空白；
（2）没有处理就显示已完成，后点已完成里面也查不到此单。
2、原因：工单是广播式的，只要是有【行政HR对接专员】角色的人都会收到。但是只能正常查看自己权限范围下的（无法查看的忽略即可）；
3、解决：若需查看，需要到HR--通用流程-权限自助，申请【行政HR对接专员】，并选择包含员工所属组织的组织范围权限。"
待入职流程未走完，员工信息错误申请修改,"解决方案：
1、手机号有误/修改入职日期：
（1）修改入职日期：招聘专员（TA）可在【入职日期确认单】中修改；
（2）手机号有误：基础人事可在【报到待办任务单】修改。
2、员工所属组织及岗位有误：
招聘专员（TA）可在【入职日期确认单】修改；或者入职以后，hrbp走通用流程修改 或者走异动调整；
3、想要取消入职删除工单:
（1）单据不支持删除；招聘专员（TA）可在【入职日期确认单】中撤回招聘端，或操作取消入职；
（2）若报到单未完成，可以在【报到待办任务单】操作未报到，或者让审批人驳回，则可取消入职。
注：
（1）若招聘员工没有收到【入职日期确认单】，请到【HR--通用流程-权限自助】申请招聘员工的角色；
（2） 若基础人事没有收到【报到待办任务单】，请到【HR--通用流程-权限自助】申请及基础人事角色；
（3） 若不该收到此任务单，则取消对应的组织范围的角色。"
HR-π入职审批流程被驳回无法入职,"现象：
1、审批人驳回；
2、人事误操作取消入职；
解决：
1、审批人驳回后视为不再入职（此流程已结束）；
2、若还想入职，招聘专员（TA）只能到谷露端重新提交待入职流程（重新走流程）。"
报到待办任务单显示：入职小程序解锁,"image {https://prod-ai-talk.oss-cn-beijing.aliyuncs.com/know/prod/2021/06/22/16243651626786419.png?Expires=4777965162&OSSAccessKeyId=LTAI4FoeSXRLXKE7RJkj4q9Z&Signature=YWi0rQVqyG9N6PHn%2B%2BeZmOw%2FlTA%3D}
text {解决 ：入职小程序解锁，请联系办理入职的【基础人事】，由其到入职【报到待办任务单】，进行解锁；
注：若解锁后状态一直是未填写，让员工删除小程序重新扫码填写。}"
在花名册查不到新员工信息,"原因：
1、【入职报到待办任务单】未完成或未到同步时间
2、无员工组织范围权限
解决：
1、查询【入职报到待办任务单】完成时间以及预计入职日期，当天完成的单据且已到入职日期， 则次日同步到花名册；
2、需本人前往【HR--通用流程-权限自助】，申请组织范围包含员工的所属组织的范围。
注：仅能本人申请，不能帮他人申请。"
HRBP提交入职配置任务单后状态还是处理中,"原因：点完提交只是绑定单据中配置的计划，状态不会改变；
解决：入职报到单完成后入职配置任务单才会办结。
注：入职【报到待办任务单】由基础人事操作。"
入职小程序银行卡支行无法填写,"image {https://prod-ai-talk.oss-cn-beijing.aliyuncs.com/know/prod/2021/07/21/16268347934488192.png?Expires=4780434793&OSSAccessKeyId=LTAI4FoeSXRLXKE7RJkj4q9Z&Signature=fSDNcyQzElVZgAFLAY%2FYGSo9%2FTg%3D}
text {原因：支行名称手动输入无法识别。
解决：输入关键字，用关键字带出后选中。
注：若只是修改银行卡信息，可选择附近支行，不影响发薪。}"
报到待办任务单提示：XX公司暂无电子签资质,1、现象：2、解决 ：（1）联系当地【行政同事】进行【开通电子签】。若还不行，请联系guoyujie03；（2）将文件下载，走线下手动签署。&nbsp;
入职电子签任务单收不到推送的背调结果,确认员工入职类型是否为非标入职，非标没有背调授权书 ，不会推送背调。
员工发起离职提示：您暂无此页面权限,1、现象：1.1无法发起原因：物业I序列，不允许员工自己发起离职流程（1）员工无离职权限：无应用权限；（2）部门负责人搜索不到被代发离职的员工。2、解决方案：（1）可让部门负责人或者HRBP进行代发离职；（2）部门负责人搜索不到被代发离职的员工：① 主岗职务层级为【员工】无代发权限。（云图梭可查看职务层级）；② 代发离职的人需要与离职员工同属一个部门（可联系基础人事或HRBP在花名册确认部门是否一致）；③ 可联系HRBP代发离职（HRBP必须有员工所属组织的权限）。注1：HRBP可在【HR-π-通用流程-权限自助】进行查询自己组织范围权限，是否包含员工的所属组织；注2：部门负责人在离职应用，选择代发离职，操作代发。 
离职流程上传附件审批人无法查看,"系统规则：
审批一节点的审批人【组织负责人】没有权限看到发起人的附件（因业务规定）；
审批二节点的审批人【地区人力HRBP员工】可以看到发起人+审批一节点审批人上传的附件。"
员工发起离职显示：离职日期显示错误,"1、原因：员工提交离职流程后，审批一、二节点的审批人都可以更改最后工作日，若审批人更改后员工页面的离职日期是不会更改的，业务信息页面是记录员工首次提交的信息；
2、解决：流程发起人可以在待办首页查看审批人最终修改后的信息（查看账号失效日或最后工作日）。"
发起离职申请离职日期无法选择上月,解决：需hrbp在【HR--通用流程-人力非标场景】中，选择岗职调整-离职，填写对应的模板并加签【人力产品团队负责人董昱】、【DT人力产品负责人陈文问】审批，审批通过后，等待后台在1-2个工作日内操作非标离职。
员工离职流程中离职详情的离职补偿金信息无法修改,"原因：离职流程中的【离职补偿金】是在【离职发起】的时候填写的，【审批过程】中无法编辑修改。
解决：联系发起人【撤回离职流程】，重新填写发起。"
手机端打不开离职流程附件，PC端可以正常打开,若手机端点击【离职附件】没反应，只能更换电脑端打开。
离职员工如何拉入企业黑名单,解决：给员工发起离职申请时，【是否黑名单】字段选择【是】即可。
离职人的账号注销时间查看方法,解决：联系基础人事查看【离职待办任务单】的审批一、审批二中的【账号失效日】&nbsp;账号注销逻辑：1、离职审批二通过后 当前日期大于最后账号失效日（账号失效日已过），直接禁用账号&nbsp;&nbsp;2、离职审批二通过后，当前日期小于或等于账号失效日（账号失效日还没有到或为当天），&nbsp;会在&nbsp;账号失效日&nbsp;当天晚上的后半夜&nbsp;00:30&nbsp;进行账号失效定时任务执行
恢复已离职账号,"已失效账号恢复：
若离职已完成（单据状态为已完成），且已过员工【最后工作日】、【账号失效日】，则不能重启账号；哪个系统有问题则转到对应系统查看是否有其他解决方案解决对应问题。
若离职已完成（单据状态为已完成），且已过员工【最后工作日】还要继续任职：
1、HRBP到【HR--通用流程-人力非标场景】走【非标入职】，说明具体情况；
2、审批通过后，后台运维在1-2个工作日完成修改。"
【离职日期确认单】未生成,"原因：
1、离职审批流程未过审批二节点；
2、【离职待办任务单】审批二的审批时间已过【最后工作日】；
3、【离职待办任务单】审批二节点的审批人没有【hrbp】角色；
解决方案：
1、联系基础人事查询【离职待办任务单】审批流程审批二节点是否已审批；
2、联系基础人事查询【离职待办任务单】审批二的审批时间是否早于【最后工作日】；
3、联系基础人事查询【离职待办任务单】审批二节点的审批人，是否有【hrbp】角色（可审批人本人自行到【HR--通用流程-权限自助】查看自己的角色权限）。
注：可联系办理离职的【基础人事】查看【离职待办任务单】的信息。"
离职电子签盖章后，员工未收到离职材料,"原因：人事未操作发送电子签；
解决：需联系【基础人事】核实是否在【签章待办任务单】中给员工操作发送电子签。"
员工发起离职显示：在黑名单,"根据公司《离职员工重新聘用管理办法（2020版）》规定，下述情形的正式员工不再重聘：
1、离职前最近一次绩效为B-及以下 ；
2、离职类型、原因为：被动离职-试用期淘汰、被动离职-业绩/表现/绩效淘汰、被动离职-违法违纪。"
申请办公网络管理员权限,【办公网络管理员】【档案管理员】【培训管理员】这3个角色均从人力侧管理转为AM的标准角色管理，可以自行到【权限自助门户】应用中申请或取消对应角色权限。 注：办公网络管理员角色，外部账号也可自行申请
提交员工的异动提示：异动生效时间不能早于此日期,"原因：员工有此日期之前在途的流程，所以系统提示：异动生效时间不能早于某年某月某日；
解决：只能将生效时间选择晚于所提示日期。"
审批人看不到异动流程的异地福利信息,"原因：审批节点中目前只有HR综合管理地产地区职能负责人（HRD）可以看到福利补贴金额及职级，其他人员不允许看到；
解决：联系对应人员查看。"
